1945,9.22137,45.5195103,9.2214651,45.5198255
1946,9.2233704,45.5199654,9.2233245,45.5198108
1947,9.2220971,45.5199915,9.2233245,45.5198108
1948,9.2209257,45.5141106,9.2197282,45.5142833
1949,9.2197454,45.5143387,9.2198779,45.5147658
1950,9.2021612,45.5232379,9.2016223,45.5222884
1951,9.2021612,45.5232379,9.2016223,45.5222884
1952,9.2021931,45.523294,9.2021612,45.5232379
1953,9.2021931,45.523294,9.2021612,45.5232379
2562,9.2130523,45.5150181,9.2130228,45.5149037
2563,9.2210884,45.5076611,9.2209639,45.5075594
2604,9.2224664,45.5086677,9.222456,45.5086914
2605,9.2224664,45.5086677,9.222456,45.5086914
4753,9.2106962,45.5156111,9.2106885,45.5156133
4754,9.2106885,45.5156133,9.2108462,45.5159022
4756,9.2108462,45.5159022,9.2108547,45.5158998
4776,9.206396,45.5068729,9.2064551,45.5068756
4777,9.2074723,45.5069413,9.2064697,45.5068933
4778,9.2064551,45.5068756,9.2074723,45.5069413
4779,9.2055613,45.5068578,9.2063485,45.5068655
6119,9.2049878,45.5154805,9.204824,45.5155241
6120,9.2064437,45.5216322,9.2065116,45.5217512
6121,9.2063408,45.521452,9.2064437,45.5216322
6123,9.2180278,45.5200752,9.218218,45.5200208
