1,129,129
2,137,137
3,137,137
4,133,133
5,133,133
6,144,144
7,137,144
8,129,129
9,129,129
10,133,133
11,133,133
12,129,129
13,129,129
14,134,134
15,134,134
16,134,134
17,142,142
18,144,144
19,144,144
20,137,137
21,137,137
22,137,137
23,134,134
24,139,145
25,134,134
26,134,134
27,134,134
28,140,140
29,140,140
30,140,140
31,140,140
32,137,138
33,137,138
34,140,140
35,141,141
36,141,141
37,138,138
38,138,138
39,137,137
40,137,137
41,140,137
42,137,137
43,135,135
44,135,135
45,137,137
46,137,137
47,137,137
48,132,137
49,137,137
50,145,145
51,139,131
52,136,136
53,136,136
54,136,136
55,136,136
56,132,132
57,136,132
58,137,137
59,137,137
60,133,133
61,137,137
62,133,137
63,141,141
64,141,141
65,140,140
66,140,140
67,133,133
68,133,133
69,135,135
70,135,135
71,134,134
72,132,134
73,129,129
74,129,129
75,129,129
76,133,133
77,133,133
78,133,133
79,133,133
80,133,133
81,133,133
82,131,131
83,131,131
84,131,131
85,132,131
86,131,131
87,131,132
88,132,132
89,131,135
90,135,135
91,136,136
92,136,136
93,143,143
94,143,143
95,139,139
96,139,139
97,139,139
98,139,139
99,139,145
100,145,145
101,141,141
102,141,141
103,141,139
104,141,139
105,139,139
106,139,139
107,136,136
108,136,136
109,139,143
110,145,143
111,138,138
112,138,138
113,141,141
114,141,141
115,140,140
116,132,132
117,131,131
118,131,131
119,132,132
120,132,132
121,132,131
122,131,131
123,129,129
124,136,136
125,136,136
126,136,129
127,134,134
128,129,129
129,132,129
130,133,132
131,131,132
132,133,132
133,132,135
134,135,132
135,132,132
136,132,133
137,133,133
138,133,132
139,133,133
140,133,133
141,136,136
142,136,136
143,132,132
144,132,132
145,133,133
146,133,133
147,140,140
148,140,141
149,141,141
150,134,133
151,133,133
152,144,136
153,142,142
154,142,142
155,142,142
156,142,142
157,142,142
158,142,142
159,136,142
160,136,136
161,136,136
162,136,136
163,136,136
164,136,136
165,136,136
166,136,136
167,136,136
168,136,142
169,136,136
170,136,136
171,136,142
172,136,136
173,136,136
174,136,136
175,136,136
176,133,133
177,132,132
178,132,132
179,133,133
180,133,133
181,131,131
182,131,131
183,134,134
184,134,134
